,quarter_end,ticker,market_cap
0,2019-03-31,AAL,14260000000
1,2019-06-30,AAL,14510000000
2,2019-09-30,AAL,11810000000
3,2019-12-31,AAL,12280000000
4,2020-03-31,AAL,5150000000
5,2020-06-30,AAL,5570000000
6,2019-03-31,DAL,35070000000
7,2019-06-30,DAL,37150000000
8,2019-09-30,DAL,37250000000
9,2019-12-31,DAL,37590000000
10,2020-03-31,DAL,18200000000
11,2020-06-30,DAL,17860000000
12,2019-03-31,LUV,28380000000
13,2019-06-30,LUV,27580000000
14,2019-09-30,LUV,29030000000
15,2019-12-31,LUV,28020000000
16,2020-03-31,LUV,18120000000
17,2020-06-30,LUV,19430000000
18,2019-03-31,SAVE,3620000000
19,2019-06-30,SAVE,3720000000
20,2019-09-30,SAVE,2480000000
21,2019-12-31,SAVE,2760000000
22,2020-03-31,SAVE,883480000
23,2020-06-30,SAVE,1540000000
24,2019-03-31,UAL,21280000000
25,2019-06-30,UAL,23040000000
26,2019-09-30,UAL,22420000000
27,2019-12-31,UAL,22130000000
28,2020-03-31,UAL,7800000000
29,2020-06-30,UAL,10800000000
